TIPO_DE_CARREGAMENTO_ENTRADA,ARQUITETURA_ANSATZ,OTIMIZADOR,BASE_DE_DADOS,SAMPLE,METRICA_NAO_SUPERVISIONADA,INDICE_DIVISAO_BASE_DE_DADOS,ACURACIA_TREINAMENTO,ACURACIA_TESTE
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,14,MSE,0.7,0.7857142857142857,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,15,MSE,0.7,0.7857142857142857,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,16,MSE,0.7,0.8,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,17,MSE,0.7,0.7857142857142857,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,18,MSE,0.7,0.8142857142857143,0.6666666666666666
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,19,MSE,0.7,0.8285714285714286,0.6666666666666666
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,20,MSE,0.7,0.7857142857142857,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,21,MSE,0.7,0.8142857142857143,0.7333333333333333
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,22,MSE,0.7,0.8,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,23,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,24,MSE,0.7,0.8,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,25,MSE,0.7,0.8,0.9333333333333333
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,26,MSE,0.7,0.8142857142857143,0.9
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,27,MSE,0.7,0.8285714285714286,0.7333333333333333
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,28,MSE,0.7,0.8142857142857143,0.7666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_low_noise,29,MSE,0.7,0.8142857142857143,0.7666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,0,MSE,0.7,0.8285714285714286,0.9
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,1,MSE,0.7,0.8714285714285714,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,2,MSE,0.7,0.8714285714285714,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,3,MSE,0.7,0.8571428571428571,0.7
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,4,MSE,0.7,0.8714285714285714,0.7333333333333333
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,5,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,6,MSE,0.7,0.8428571428571429,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,7,MSE,0.7,0.8714285714285714,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,8,MSE,0.7,0.8571428571428571,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,9,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,10,MSE,0.7,0.8428571428571429,0.9
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,11,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,12,MSE,0.7,0.8571428571428571,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,13,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,14,MSE,0.7,0.8428571428571429,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,15,MSE,0.7,0.8714285714285714,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,16,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,17,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,18,MSE,0.7,0.8,0.9
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,19,MSE,0.7,0.8428571428571429,0.8
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,20,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,21,MSE,0.7,0.8428571428571429,0.9333333333333333
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,22,MSE,0.7,0.8142857142857143,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,23,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,24,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,25,MSE,0.7,0.8285714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_50samples_no_noise,26,MSE,0.7,0.8285714285714286,0.8
